,Fecha,codigoSerial,pm2.5,calidad_pm2.5,pm10,calidad_pm10
0,2019-09-01 00:00:00,12,41.0,1.0,53.0,1.0
1,2019-09-01 01:00:00,12,29.0,1.0,45.0,1.0
2,2019-09-01 02:00:00,12,24.0,1.0,29.0,1.0
3,2019-09-01 03:00:00,12,23.0,1.0,26.0,1.0
4,2019-09-01 04:00:00,12,22.0,1.0,28.0,1.0
5,2019-09-01 05:00:00,12,25.0,1.0,26.0,1.0
6,2019-09-01 06:00:00,12,23.0,1.0,43.0,1.0
7,2019-09-01 07:00:00,12,26.0,1.0,38.0,1.0
8,2019-09-01 08:00:00,12,30.0,1.0,53.0,1.0
9,2019-09-01 09:00:00,12,26.0,1.0,43.0,1.0
11,2019-09-01 11:00:00,12,27.0,1.0,30.0,1.0
12,2019-09-01 12:00:00,12,15.0,1.0,38.0,1.0
13,2019-09-01 13:00:00,12,12.0,1.0,46.0,1.0
14,2019-09-01 14:00:00,12,15.0,1.0,35.0,1.0
15,2019-09-01 15:00:00,12,9.0,1.0,18.0,2.1
16,2019-09-01 16:00:00,12,6.0,2.1,29.0,1.0
17,2019-09-01 17:00:00,12,4.0,1.0,29.0,1.0
18,2019-09-01 18:00:00,12,13.0,1.0,26.0,1.0
19,2019-09-01 19:00:00,12,11.0,1.0,27.0,2.1
20,2019-09-01 20:00:00,12,20.0,1.0,33.0,1.0
21,2019-09-01 21:00:00,12,17.0,1.0,34.0,1.0
22,2019-09-01 22:00:00,12,20.0,1.0,40.0,1.0
23,2019-09-01 23:00:00,12,22.0,1.0,41.0,1.0
24,2019-09-02 00:00:00,12,24.0,1.0,39.0,1.0
25,2019-09-02 01:00:00,12,27.0,1.0,32.0,1.0
26,2019-09-02 02:00:00,12,20.0,1.0,32.0,1.0
27,2019-09-02 03:00:00,12,23.0,1.0,35.0,1.0
28,2019-09-02 04:00:00,12,21.0,1.0,32.0,1.0
29,2019-09-02 05:00:00,12,20.0,1.0,39.0,1.0
30,2019-09-02 06:00:00,12,25.0,1.0,48.0,1.0
31,2019-09-02 07:00:00,12,35.0,1.0,57.0,1.0
32,2019-09-02 08:00:00,12,33.0,1.0,62.0,1.0
33,2019-09-02 09:00:00,12,36.0,1.0,80.0,1.0
34,2019-09-02 10:00:00,12,36.0,1.0,53.0,1.0
35,2019-09-02 11:00:00,12,32.0,1.0,53.0,1.0
36,2019-09-02 12:00:00,12,35.0,1.0,64.0,1.0
37,2019-09-02 13:00:00,12,22.0,1.0,65.0,1.0
38,2019-09-02 14:00:00,12,14.0,1.0,71.0,1.0
39,2019-09-02 15:00:00,12,12.0,1.0,49.0,1.0
40,2019-09-02 16:00:00,12,14.0,1.0,42.0,1.0
41,2019-09-02 17:00:00,12,22.0,1.0,64.0,1.0
42,2019-09-02 18:00:00,12,29.0,1.0,62.0,1.0
43,2019-09-02 19:00:00,12,24.0,1.0,79.0,1.0
44,2019-09-02 20:00:00,12,28.0,1.0,70.0,1.0
45,2019-09-02 21:00:00,12,19.0,1.0,56.0,1.0
46,2019-09-02 22:00:00,12,23.0,1.0,59.0,1.0
47,2019-09-02 23:00:00,12,19.0,1.0,38.0,1.0
48,2019-09-03 00:00:00,12,20.0,1.0,39.0,1.0
49,2019-09-03 01:00:00,12,21.0,1.0,36.0,1.0
50,2019-09-03 02:00:00,12,20.0,1.0,38.0,1.0
51,2019-09-03 03:00:00,12,22.0,1.0,37.0,1.0
52,2019-09-03 04:00:00,12,22.0,1.0,38.0,1.0
53,2019-09-03 05:00:00,12,21.0,1.0,48.0,1.0
54,2019-09-03 06:00:00,12,39.0,1.0,59.0,1.0
55,2019-09-03 07:00:00,12,45.0,1.0,83.0,1.0
56,2019-09-03 08:00:00,12,38.0,1.0,68.0,1.0
